Timestamp,Select your team,Trust & Safety,Dependability,Purpose,Delivering Value,Team Autonomy,Teamwork,Continuously Improve,Decisions,Sustainable pace,Feedback,Integrity,One most important thing you want to improve as soon as possible
15/06/2020 16:23:04,Other,5,5,4,2,2,4,3,3,2,5,3,My time usage
15/06/2020 16:38:14,Team Blue,6,8,1,9,5,5,5,5,5,3,5,"Get rid of useless meetings - daily meetings are too long and demotivating, retro meetings as well. I hope, this workshop isn't one of them)"
15/06/2020 17:05:08,Team Yellow,8,4,3,1,8,8,8,3,7,8,8,
15/06/2020 17:44:56,Other,8,8,8,8,8,6,8,7,9,4,7,
15/06/2020 18:40:13,Team Green,5,10,2,4,1,6,3,5,10,3,5,frequent releases
15/06/2020 18:42:25,Team Yellow,10,9,8,7,7,10,5,5,8,9,9,"Improve estimations (smaller stories, team vs. silo estimation)"
16/06/2020 11:03:27,Stakeholders,8,8,9,8,6,7,6,7,5,5,8,
16/06/2020 11:46:53,Other,7,8,8,4,8,7,6,7,8,2,8,produce more product value per time unit at given costs
16/06/2020 14:04:23,Other,8,9,3,8,9,9,8,10,9,9,7,
16/06/2020 15:47:04,Team Green,9,6,7,8,9,7,9,4,4,3,5,
16/06/2020 15:56:49,Other,9,9,10,9,7,9,10,10,8,9,9,
16/06/2020 21:13:36,Team Green,10,8,7,8,6,7,7,8,7,7,9,
17/06/2020 10:53:47,Other,8,10,5,10,3,6,5,9,9,7,9,
17/06/2020 12:44:25,Team Green,9,9,8,8,5,8,9,7,9,4,8,
17/06/2020 12:45:36,Team Green,10,10,9,10,10,8,10,10,9,10,10,
17/06/2020 12:47:07,Team Green,9,10,8,8,8,7,9,8,8,9,9,"I feel that we seldom work as a team, but more as two separate groups of BE and FE devs and testers, and that I would like to see changing in the upcoming PI"
18/06/2020 13:15:10,Team Green,10,10,3,4,4,5,7,6,8,5,5,Decrease the release cycle
18/06/2020 14:36:52,Team Green,10,10,10,10,8,10,10,10,5,7,10,Long-term Product vision has to be communicated clearly
18/06/2020 16:03:18,Team Red,7,7,9,8,7,9,9,7,4,4,7,
18/06/2020 16:20:49,Other,8,5,8,6,8,6,5,7,5,4,6,
18/06/2020 16:27:34,Other,5,9,10,6,7,8,8,7,6,8,4,
18/06/2020 16:29:50,Team Green,10,9,7,8,5,3,6,7,7,3,7,
18/06/2020 17:55:36,Team Yellow,10,6,8,7,8,8,10,9,9,10,7,
19/06/2020 13:10:03,Team Yellow,10,10,10,8,10,10,10,9,7,10,9,
19/06/2020 13:20:12,Team Yellow,10,10,8,7,9,9,9,9,9,10,9,
19/06/2020 13:38:18,Team Blue,7,7,7,6,7,8,7,6,8,7,8,Decreasing BE QA test amount
19/06/2020 13:51:41,Team Yellow,8,3,6,6,7,7,7,6,8,6,6,
19/06/2020 13:53:09,Team Blue,10,3,6,6,8,9,6,10,7,8,8,Split teams
20/06/2020 23:01:18,Team Blue,7,9,8,8,6,9,8,9,8,9,7,Change maintenance workflow
22/06/2020 11:15:38,Team Blue,8,8,7,9,6,8,7,7,7,8,8,
22/06/2020 13:08:50,Team Yellow,9,7,6,6,7,7,9,9,4,6,5,